Time,Indicator,Employment_Status,Indicator_Status,Location,Amount,Unemployment_Rate
2018,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",108,
2015,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",150,
2018,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",850,
2019,Employment Status By Education,Employed,Less than Highschool,"Allegany County, Maryland",786,
2017,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",125,
2019,Employment Status By Education,Unemployed,Less than Highschool,"Allegany County, Maryland",76,
2015,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2348,
2017,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2195,
2016,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2165,
2018,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2178,
2019,Employment Status By Education,NIL,Less than Highschool,"Allegany County, Maryland",2102,
2015,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",10.1,0.101
2016,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",9.3,0.093
2017,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",9,0.09
2018,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",8.3,0.083
2015,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",11.4,0.114
2019,Unemployment By Veteran Status,,Non Veteran,"Allegany County, Maryland",7.3,0.073
2016,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",12,0.12
2017,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",10.7,0.107
2019,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",9.3,0.093
2018,Unemployment By Veteran Status,,Veteran,"Allegany County, Maryland",11.4,0.114
2016,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",7912,
2015,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",7970,
2017,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",8108,
2018,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",8423,
2015,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",888,
2019,Employment Status By Education,Employed,Some College,"Allegany County, Maryland",8051,
2016,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",715,
2017,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",652,
2018,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",563,
2015,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3049,
2016,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3162,
2019,Employment Status By Education,Unemployed,Some College,"Allegany County, Maryland",451,
2017,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3159,
2018,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",2907,
2017,Unemployment By Race,,Asian,"Allegany County, Maryland",12.4,0.124
2016,Unemployment By Race,,Asian,"Allegany County, Maryland",14,0.14
2015,Unemployment By Race,,Asian,"Allegany County, Maryland",5.7,0.057
2018,Unemployment By Race,,Asian,"Allegany County, Maryland",13.8,0.138
2019,Unemployment By Race,,Asian,"Allegany County, Maryland",14.9,0.149
2019,Employment Status By Education,NIL,Some College,"Allegany County, Maryland",3153,
2015,Unemployment By Race,,White,"Allegany County, Maryland",9.1,0.091
2016,Unemployment By Race,,White,"Allegany County, Maryland",8.7,0.087
2017,Unemployment By Race,,White,"Allegany County, Maryland",8.4,0.084
2018,Unemployment By Race,,White,"Allegany County, Maryland",8,0.08
2015,Unemployment By Race,,Black,"Allegany County, Maryland",29.1,0.291
2019,Unemployment By Race,,White,"Allegany County, Maryland",6.8,0.068
2016,Unemployment By Race,,Black,"Allegany County, Maryland",25.8,0.258
2018,Unemployment By Race,,Black,"Allegany County, Maryland",23.4,0.234
2017,Unemployment By Race,,Black,"Allegany County, Maryland",26,0.26
2019,Unemployment By Race,,Black,"Allegany County, Maryland",25.3,0.253
2015Q3,TANF Workers,,,"Anne Arundel County, Maryland",317,
2015Q4,TANF Workers,,,"Anne Arundel County, Maryland",362,
2015Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.120035746,0.001200357
2015Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.137674518,0.001376745
2016Q1,TANF Workers,,,"Anne Arundel County, Maryland",259,
2016Q2,TANF Workers,,,"Anne Arundel County, Maryland",266,
2016Q3,TANF Workers,,,"Anne Arundel County, Maryland",284,
2016Q4,TANF Workers,,,"Anne Arundel County, Maryland",279,
2016Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.100251985,0.00100252
2016Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.100476318,0.001004763
2016Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.105598584,0.001055986
2016Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.103967535,0.001039675
2017Q1,TANF Workers,,,"Anne Arundel County, Maryland",231,
2017Q2,TANF Workers,,,"Anne Arundel County, Maryland",263,
2017Q3,TANF Workers,,,"Anne Arundel County, Maryland",261,
2017Q4,TANF Workers,,,"Anne Arundel County, Maryland",309,
2017Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.0892557,0.000892557
2017Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.100351421,0.001003514
2017Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.097586145,0.000975861
2017Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.11580407,0.001158041
2018Q1,TANF Workers,,,"Anne Arundel County, Maryland",249,
2018Q2,TANF Workers,,,"Anne Arundel County, Maryland",222,
2018Q3,TANF Workers,,,"Anne Arundel County, Maryland",224,
2018Q4,TANF Workers,,,"Anne Arundel County, Maryland",249,
2018Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.095919012,0.00095919
2018Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.08382293,0.000838229
2018Q3,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.082590389,0.000825904
2018Q4,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.091984086,0.000919841
2019Q1,TANF Workers,,,"Anne Arundel County, Maryland",211,
2019Q2,TANF Workers,,,"Anne Arundel County, Maryland",218,
2019Q1,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.080015776,0.000800158
2019Q2,Percent of Workers in TANF (%),,,"Anne Arundel County, Maryland",0.081269595,0.000812696
2016Q3,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",9,
2016Q4,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",16,
2016Q3,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",1.044083527,0.009174312
2016Q4,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",1.965601966,0.01965602
2017Q1,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",16,
2017Q2,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",15,
2017Q3,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",8,
2017Q4,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",4,
2017Q1,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",1.762114537,0.017621145
2017Q2,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",1.507537688,0.015075377
2017Q3,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",0.78125,0.0078125
2017Q4,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",0.453001133,0.004530011
2018Q1,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",8,
2018Q2,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",7,
2018Q3,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",5,
2018Q4,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",6,
2018Q1,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",1.088435374,0.010884354
2018Q2,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",0.838323353,0.008383234
2018Q3,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",0.657894737,0.006578947
2018Q4,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",0.884955752,0.008849558
2019Q1,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",6,
2019Q2,TANF Participants in Workforce Service ,,,"Anne Arundel County, Maryland",1,
2019Q1,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",0.696055684,0.006960557
2019Q2,Percent of Workforce Service participants in TANF (%),,,"Anne Arundel County, Maryland",0.507614213,0.005076142
2017,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",16136,
2018,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",14841,
2019,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",14881,
2020,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",14103,
2017,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.06333,6.3327
2018,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.06223,6.2231
2019,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.06188,6.1878
2020,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.06126,6.126
2015,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",13704,
2016,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",14043,
2017,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",15180,
2018,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",15381,
2019,Employment Status By Disability Status,Labor Force,Disabled,"Anne Arundel County, Maryland",15955,
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",267609,
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",267940,
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",269133,
2018,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",268500,
2019,Employment Status By Disability Status,Labor Force,Non Disabled,"Anne Arundel County, Maryland",266958,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",10773,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",11387,
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",10924,
2018,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",11006,
2019,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",9853,
2016,Median Household Income,,,"Anne Arundel County, Maryland",91918,
2018,Median Household Income,,,"Anne Arundel County, Maryland",97810,
2019,Median Household Income,,,"Anne Arundel County, Maryland",100798,
2015,Total Population,,,"Anne Arundel County, Maryland",555280,
2015,Median Household Income,,,"Anne Arundel County, Maryland",89860,
2017,Median Household Income,,,"Anne Arundel County, Maryland",94502,
2019,Total Population,,,"Anne Arundel County, Maryland",571275,
2018,Total Population,,,"Anne Arundel County, Maryland",567696,
2016,Total Population,,,"Anne Arundel County, Maryland",559737,
2017,Total Population,,,"Anne Arundel County, Maryland",564600,
2015,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",5.7,0.057
2016,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",5.3,0.053
2017,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",4.9,0.049
2018,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",4.3,0.043
2019,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",3.6,0.036
2015,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1933,
2016,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1904,
2017,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1986,
2018,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1826,
2017,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",4.8,0.048
2015,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",5.1,0.051
2019,Employment Status By Disability Status,Unemployed,Disabled,"Anne Arundel County, Maryland",1874,
2016,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",4.9,0.049
2018,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",5.6,0.056
2015,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",5.2,0.052
2017,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.6,0.046
2018,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.5,0.045
2019,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",5.2,0.052
2016,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",5,0.05
2019,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.1,0.041
2019,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",257471,
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",104588,
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",14434,
2018,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",257557,
2017,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",256870,
2016,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",254591,
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",111317,
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",13349,
2018,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",10943,
2018,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",113692,
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",108401,
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",12263,
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2670,
2019,Employment Status By Disability Status,Unemployed,Non Disabled,"Anne Arundel County, Maryland",9487,
2015,Employment Status By Disability Status,Employed,Non Disabled,"Anne Arundel County, Maryland",253175,
2019,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",116210,
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2604,
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2617,
2018,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2670,
2019,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2721,
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",12929,
